Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,B,57,R,1,36,41,501_M0111_B_057R_1_WR:36-41_1,IWRH3,167.82,11.65,,7.78,9.76,0.000,178.294,8.076,0.265,1.112,583.256,1.376,3.700,25.461,8.545,115.130,16.076,4.132,0.000,159.722,0.426,0.000,8.522,194.055,38.644,,501_M0111_B_057R_1_WR:36-41_1,20,167.82,silt,none,"bisquits, drilling mud inbetween",,highly biscuitted sand and silt,"not full, water in the liner",Y,,Y,Y,,YY,
501,M0111,B,59,R,2,31,36,501_M0111_B_059R_2_WR:31-36_1,IWRH3,170.53,6.87,0.09,7.99,6.79,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_059R_2_WR:31-36_1,20,170.53,sand,moderate,laminae and dragging of edges,,"laminated sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,60,R,2,142,148,501_M0111_B_060R_2_WR:142-148_1,IWSQ1,174.7,5.52,,7.93,5.85,,90.194,6.625,0.131,0.927,580.019,0.262,1.109,0.036,2.280,8.934,4.957,0.419,0.459,98.347,0.665,1.485,7.133,114.026,10.009,,501_M0111_B_060R_2_WR:142-148_1,20,174.7,mud,none,coherent clay above and below,,compacted (not hard) silt-clay,,,,,,,,
501,M0111,B,61,R,2,94,100,501_M0111_B_061R_2_WR:94-100_1,IWSQ2,178.05,5.08,0.07,7.95,7.09,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_061R_2_WR:94-100_1,20,178.05,clay,none,"coherent clay above and below, crack below 5 cm in section 3",,compacted (not hard) clay,,,,,,,,
501,M0111,B,62,R,2,90,95,501_M0111_B_062R_2_WR:90-95_1,IWSQ3,181.06,4.86,,,,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_062R_2_WR:90-95_1,20,181.06,mud,none,coherent clay above and below,,compacted (not hard) sandy silt,,,,,,,,
501,M0111,B,63,R,2,94,100,501_M0111_B_063R_2_WR:94-100_1,IWSQ1,184.15,5.81,,7.37,7.37,0.000,77.401,10.361,0.110,1.853,726.642,0.000,0.997,0.698,2.003,5.331,3.823,0.291,0.240,97.042,0.324,1.679,10.755,108.580,9.393,,501_M0111_B_063R_2_WR:94-100_1,20,184.15,silt,none,"coherent clay above and below, crack below 5 cm in section 3",,compacted (not hard) silt,,,,,,,,
501,M0111,B,65,R,2,86,92,501_M0111_B_065R_2_WR:86-92_1,IWSQ2,190.16,5.16,0.07,8.13,8.56,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_065R_2_WR:86-92_1,20,190.16,fine sand,,"laminae, fine cracks above, blocky below in top of section 3",,kamination of silt and sand,,,,,,,,
501,M0111,B,66,R,2,85,90,501_M0111_B_066R_2_WR:85-90_1,IWSQ3,193.2,5.76,,8.00,6.87,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_066R_2_WR:85-90_1,4,193.2,silt,none,"homogenous mud, small gap 5 cm above WR",,compacted (not hard) sandy silt,,,,,,,,
501,M0111,B,68,R,1,144,150,501_M0111_B_068R_1_WR:144-150_1,IWSQ1,198.4,6.78,0.10,8.43,6.17,0.000,89.178,7.384,0.133,0.000,304.255,0.146,1.306,0.197,2.652,2.594,4.792,0.382,0.334,97.347,1.005,0.000,7.804,76.718,13.148,,501_M0111_B_068R_1_WR:144-150_1,18,198.4,sand,slight,"mixed sand, mud clasts, no obvious disturbanc above and below",,silty sand,,,,,,,,
501,M0111,B,69,R,1,144,150,501_M0111_B_069R_1_WR:144-150_1,IWSQ2,201.45,6.62,0.08,7.80,4.50,0.000,81.130,5.765,0.119,,,,,,,,,,,,,,,,,,501_M0111_B_069R_1_WR:144-150_1,21,201.45,mud,slight,"coherent, some cracks",,compacted (not hard) silt,,,,,,,,
